time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-30T04:44:08.206Z,58.2572,-155.0169,5.7,1.1,ml,,,,0.62,ak,ak18833137,2018-03-30T04:46:52.522Z,"100km NW of Larsen Bay, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-03-30T04:40:12.230Z,33.686,-116.7011667,15.73,0.37,ml,13,63,0.02734,0.14,ci,ci37902647,2018-03-30T04:43:49.856Z,"6km SSE of Idyllwild, CA",earthquake,0.39,0.5,0.064,6,automatic,ci,ci
2018-03-30T04:24:16.059Z,63.54,-147.309,0,1.5,ml,,,,0.67,ak,ak18832000,2018-03-30T04:31:13.045Z,"83km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T04:18:20.740Z,63.0573,-151.6166,7.9,1.1,ml,,,,0.66,ak,ak18831998,2018-03-30T04:27:25.451Z,"112km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T04:08:11.270Z,38.8203316,-122.8033371,2.41,1.38,md,28,55,0.006087,0.04,nc,nc72991480,2018-03-30T06:50:04.186Z,"6km NW of The Geysers, CA",earthquake,0.22,0.4,0.07,7,automatic,nc,nc
2018-03-30T04:01:45.061Z,61.2301,-147.6378,8.1,1.7,ml,,,,0.79,ak,ak18831970,2018-03-30T04:06:26.028Z,"70km W of Valdez, Alaska",earthquake,,3.8,,,automatic,ak,ak
2018-03-30T03:56:46.500Z,38.8144989,-122.8300018,2,0.9,md,18,49,0.005659,0.04,nc,nc72991475,2018-03-30T04:11:03.714Z,"8km WNW of The Geysers, CA",earthquake,0.25,0.44,0.11,6,automatic,nc,nc
2018-03-30T03:11:55.730Z,61.287,-147.6393,6.6,1.5,ml,,,,0.98,ak,ak18830832,2018-03-30T03:18:50.770Z,"71km WNW of Valdez, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-30T03:09:12.570Z,33.4848333,-116.784,7.48,0.32,ml,14,105,0.08932,0.13,ci,ci37902599,2018-03-30T03:12:44.792Z,"9km ENE of Aguanga, CA",earthquake,0.27,1.04,0.073,9,automatic,ci,ci
2018-03-30T03:06:37.600Z,34.0446663,-117.0381699,8.65,1.41,ml,63,36,0.07928,0.16,ci,ci37902591,2018-03-30T03:10:11.750Z,"1km NNE of Yucaipa, CA",earthquake,0.21,0.56,0.318,9,automatic,ci,ci
2018-03-30T02:52:43.220Z,33.9776667,-116.6756667,13.23,0.63,ml,14,82,0.06492,0.08,ci,ci37902583,2018-03-30T02:56:19.990Z,"12km SW of Morongo Valley, CA",earthquake,0.32,0.95,0.163,10,automatic,ci,ci
2018-03-30T02:50:27.009Z,39.9408,-120.0837,11.4,0.9,ml,11,156.49,0.224,0.1928,nn,nn00628221,2018-03-30T03:37:44.926Z,"30km NNW of Cold Springs, Nevada",earthquake,,5.1,0.23,4,reviewed,nn,nn
2018-03-30T02:21:51.750Z,18.0426,-68.1508,55,2.95,md,7,192,1.0418,0.22,pr,pr2018089000,2018-03-30T04:18:01.771Z,"61km SE of Boca de Yuma, Dominican Republic",earthquake,1.65,2.64,0.26,6,reviewed,pr,pr
2018-03-30T02:17:32.960Z,39.9469986,-120.0738297,8.33,2.43,md,15,159,0.2321,0.09,nc,nc72991440,2018-03-30T05:23:02.443Z,"17km NNE of Chilcoot-Vinton, CA",earthquake,0.49,2.18,0.1,16,automatic,nc,nc
2018-03-30T02:07:57.110Z,36.0168333,-117.5546667,1.67,1.43,ml,19,82,0.06722,0.16,ci,ci37902559,2018-03-30T02:18:47.880Z,"31km NNW of Searles Valley, CA",earthquake,0.29,0.4,0.109,19,automatic,ci,ci
2018-03-30T02:00:27.400Z,-5.6747,151.7179,35,4.9,mb,,68,5.644,1.23,us,us1000db87,2018-03-30T02:16:20.040Z,"158km SSW of Kokopo, Papua New Guinea",earthquake,9.7,2,0.108,27,reviewed,us,us
2018-03-30T01:56:34.690Z,36.0208333,-117.5516667,1.09,2.15,ml,27,60,0.06288,0.19,ci,ci37902551,2018-03-30T02:07:42.840Z,"31km NNW of Searles Valley, CA",earthquake,0.26,0.43,0.152,25,automatic,ci,ci
2018-03-30T01:50:36.470Z,34.0396667,-116.4016667,3.42,0.68,ml,21,82,0.03113,0.18,ci,ci37902535,2018-03-30T01:54:07.229Z,"9km SSE of Yucca Valley, CA",earthquake,0.34,0.7,0.171,10,automatic,ci,ci
2018-03-30T01:12:38.190Z,40.4673347,-124.2366638,24.31,2.26,md,9,262,0.1017,0.07,nc,nc72991430,2018-03-30T04:53:03.286Z,"12km WSW of Rio Dell, CA",earthquake,3.25,2.13,0.13,4,automatic,nc,nc
2018-03-30T01:08:13.160Z,33.0446667,-115.8981667,1.93,1.2,ml,23,67,0.09563,0.29,ci,ci37902511,2018-03-30T01:11:49.397Z,"24km ESE of Ocotillo Wells, CA",earthquake,0.4,0.95,0.174,17,automatic,ci,ci
2018-03-30T00:47:26.210Z,33.6478333,-116.7586667,14.08,0.89,ml,36,53,0.05419,0.17,ci,ci37902503,2018-03-30T00:51:10.637Z,"11km SSW of Idyllwild, CA",earthquake,0.25,0.35,0.253,26,automatic,ci,ci
2018-03-30T00:39:38.031Z,60.9254,-150.7875,29.1,1.3,ml,,,,0.38,ak,ak18828521,2018-03-30T00:44:41.171Z,"37km NE of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T00:39:02.350Z,38.7593346,-122.7316666,1.97,0.78,md,8,167,0.01203,0.02,nc,nc72991420,2018-03-30T00:40:40.310Z,"3km SE of The Geysers, CA",earthquake,0.57,1.13,0.19,2,automatic,nc,nc
2018-03-30T00:32:35.880Z,38.7589989,-122.7328339,1.46,0.87,md,8,166,0.01109,0.02,nc,nc72991410,2018-03-30T00:44:02.027Z,"3km SE of The Geysers, CA",earthquake,0.7,0.68,0.07,3,automatic,nc,nc
2018-03-30T00:28:50.650Z,35.4836667,-118.3015,3.18,1.07,ml,14,62,0.1417,0.25,ci,ci37902487,2018-03-30T00:32:33.362Z,"21km SE of Bodfish, CA",earthquake,0.4,1.71,0.095,12,automatic,ci,ci
2018-03-30T00:10:41.723Z,60.897,-149.5694,29.7,1.6,ml,,,,0.49,ak,ak18827405,2018-03-30T00:17:00.794Z,"39km SSE of Anchorage, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-03-30T00:04:46.250Z,38.824501,-122.7983322,2.48,0.89,md,12,75,0.009238,0.02,nc,nc72991400,2018-03-30T00:48:02.046Z,"6km NW of The Geysers, CA",earthquake,0.25,0.58,0.04,4,automatic,nc,nc
2018-03-30T00:03:30.132Z,62.8542,-145.0359,0,2,ml,,,,1.03,ak,ak18827386,2018-03-30T00:17:00.533Z,"87km NNE of Glennallen, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-29T23:55:37.180Z,18.03,-68.1463,55,4.01,md,21,193,0.538,0.52,pr,pr2018088003,2018-03-30T00:26:57.523Z,"73km SE of Punta Cana, Dominican Republic",earthquake,1.98,3.43,0.43,16,reviewed,pr,pr
2018-03-29T23:49:32.430Z,19.1988335,-155.5164948,35.58,2.03,md,41,138,0.05199,0.15,hv,hv70065656,2018-03-29T23:52:51.750Z,"3km W of Pahala, Hawaii",earthquake,0.58,1.25,0.15,11,automatic,hv,hv
2018-03-29T23:46:45.010Z,62.2762,-150.9036,60.1,1.9,ml,,,,0.45,ak,ak18827360,2018-03-29T23:58:47.112Z,"41km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-03-29T23:32:35.750Z,34.0453333,-117.2348333,16.02,1.26,ml,47,52,0.07196,0.13,ci,ci37902471,2018-03-29T23:47:57.253Z,"2km E of Loma Linda, CA",earthquake,0.19,0.3,0.187,23,reviewed,ci,ci
